HiringAgency,jobLink,jobNum,Job ID,Business Title,Civil Service Title,Title Classification,Job Category,Career Level,Work Location,Division/Work Unit,# of Positions,Title Code No,Level,Proposed Salary Range,POSTING DATE,POST UNTIL
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455663&PostingSeq=1,455663,455663,"Patient Navigator, Bureau of Sexually Transmitted Infections",PUBLIC HEALTH ADVISER,Competitive,Health,Experienced (non-manager),295 Flatbush Ext Brooklyn,Not Listed,1,51191,02,"$ 47,155.00 - $ 58,566.00 (Annual)",2020-12-24,2021-04-20
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455641&PostingSeq=1,455641,455641,"Physician, Bureau of Sexually Transmitted Infections",CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,Experienced (non-manager),1309 Fulton Ave Bronx,Not Listed,1,53040,02,$     79.01 - $     84.62 (Hourly),2020-12-24,3020-01-01
Not Found,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455654&PostingSeq=1,455654,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,3020-12-12,3020-12-12
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455655&PostingSeq=1,455655,455655,"Public Health Advisor, Bureau of Sexually Transmitted Infections (BSTI)",PUBLIC HEALTH ADVISER,Competitive,Health,Experienced (non-manager),295 Flatbush Ext Brooklyn,Not Listed,1,51191,02,"$ 47,155.00 - $ 58,566.00 (Annual)",2020-12-24,2021-04-20
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455664&PostingSeq=1,455664,455664,Research Scientist,CITY RESEARCH SCIENTIST,Non-Competitive,Health,Experienced (non-manager),42-09 28th Street,Communicable Diseases,1,21744,03,$     46.23 - $     57.42 (Hourly),2020-12-24,2021-04-20
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455859&PostingSeq=1,455859,455859,"School Mental Health Supervisor, Bureau of School Health",SPEC CONSULTANT (MHSS) (AL 2),Competitive,"Constituent Services & Community Programs, Health, Social Services",Experienced (non-manager),NYC - All Boroughs,SH Mental Health,2,5100C,02,"$ 71,379.00 - $ 98,484.00 (Annual)",2020-12-24,2021-04-23
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455742&PostingSeq=1,455742,455742,"Special Assistant, Health Equity Capacity Building Bureau",CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Not Listed,1,21744,01,$     35.11 - $     38.62 (Hourly),2020-12-24,2021-04-21
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455690&PostingSeq=1,455690,455690,Supervising Public Health Advisor,SUPERVISING PUBLIC HEALTH ADVI,Competitive,Health,Experienced (non-manager),42-09 28th Street,Not Listed,1,51193,00,"$ 54,270.00 - $ 67,403.00 (Annual)",2020-12-24,2021-04-21
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455710&PostingSeq=1,455710,455710,"Triage Nurse, Bureau of Sexually Transmitted Infections",JUNIOR PUBLIC HEALTH NURSE,Non-Competitive,Health,Experienced (non-manager),NYC - All Boroughs,Not Listed,1,51008,00,$     41.69 - $     41.69 (Hourly),2020-12-24,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455752&PostingSeq=1,455752,455752,Vital Event Registration Scientist,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),"125 Worth Street, Nyc",Vital Statistics/Vital Recor,1,21744,01,"$ 64,140.00 - $ 70,554.00 (Annual)",2020-12-24,2021-04-21
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455458&PostingSeq=1,455458,455458,Child Care Inspector,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Child Care,1,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455516&PostingSeq=1,455516,455516,City Research Scientist,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),"455 First Ave., N.Y.",PHL Admin & Lab Support,1,21744,02,"$ 75,504.00 - $ 86,830.00 (Annual)",2020-12-18,2021-04-15
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455578&PostingSeq=1,455578,455578,Data Analyst,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Bureau of Epidemiology Srvcs,1,21744,02,"$ 75,504.00 - $ 86,830.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455554&PostingSeq=1,455554,455554,"Digital Media Coordinator, Bureau of HIV/AIDS Prevention and Control",GRAPHIC ARTIST,Competitive,"Health, Technology, Data & Innovation",Experienced (non-manager),42-09 28th Street,Not Listed,1,91415,02,"$ 58,839.00 - $ 70,950.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455529&PostingSeq=1,455529,455529,Director of Education & Training,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),"1 Court Square, Queens",TB Executive Office,1,21744,02,"$ 75,504.00 - $ 93,776.00 (Annual)",2020-12-18,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455603&PostingSeq=1,455603,455603,Evaluation Specialist,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Not Listed,1,21744,01,"$ 64,140.00 - $ 70,554.00 (Annual)",2020-12-18,2021-04-17
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455602&PostingSeq=1,455602,455602,"Exterminator, Bureau of Veterinary and Pest Control Services",EXTERMINATOR,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),"158 E 115Th St., N.Y.",Pest Control Services,1,90510,01,"$ 34,027.00 - $ 47,967.00 (Annual)",2020-12-18,2021-04-17
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455475&PostingSeq=1,455475,455475,"Field Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,Experienced (non-manager),"1 Court Square, Queens",SH Medical,1,53040,01,$     79.01 - $     84.62 (Hourly),2020-12-18,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455618&PostingSeq=1,455618,455618,"Field Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,Experienced (non-manager),30-30 47TH AVE,SH Medical,1,53040,01,$     79.01 - $     84.62 (Hourly),2020-12-18,2021-04-17
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455580&PostingSeq=1,455580,455580,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),"125 Worth Street, Nyc",Healthy Homes Progam,2,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455617&PostingSeq=1,455617,455617,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",LABORATORY MICROBIOLOGIST,Competitive,Health,Experienced (non-manager),"455 First Ave., N.Y.",Virology,1,21513,02,"$ 52,902.00 - $ 68,040.00 (Annual)",2020-12-18,2021-04-17
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455572&PostingSeq=1,455572,455572,Language Access Coordinator,COMMUNITY ASSOCIATE,Non-Competitive,"Constituent Services & Community Programs, Health",Experienced (non-manager),42-09 28th Street,Public Information,1,56057,00,"$ 38,333.00 - $ 63,794.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455587&PostingSeq=1,455587,455587,"NRR Surveyors, Bureau of Veterinary and Pest Control Services",COMMUNITY ASSOCIATE,Non-Competitive,Health,Experienced (non-manager),"125 Worth Street, Nyc",Pest Control Services,1,56057,00,"$ 38,333.00 - $ 47,610.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455468&PostingSeq=1,455468,455468,Network Engineer,IT INFRASTRUCTURE ENGINEER,Non-Competitive,"Health, Technology, Data & Innovation",Experienced (non-manager),42-09 28th Street,Network Technology Services,1,95714,00,"$ 75,000.00 - $ 98,233.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455585&PostingSeq=1,455585,455585,Poison Information Specialist,POISON INFORMATION SPECIALIST(,Pending Classification,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),"455 First Ave., N.Y.",Poison Control Center,1,06663,04,"$ 93,589.00 - $101,076.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455562&PostingSeq=1,455562,455562,"Program Planner, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Not Listed,1,21744,02,"$ 75,504.00 - $ 93,776.00 (Annual)",2020-12-18,2021-04-16
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455457&PostingSeq=1,455457,455457,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,1,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455455&PostingSeq=1,455455,455455,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,1,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455453&PostingSeq=1,455453,455453,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,1,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455456&PostingSeq=1,455456,455456,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,1,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455454&PostingSeq=1,455454,455454,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,10,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-18,2021-04-14
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455526&PostingSeq=1,455526,455526,"Viral Hepatitis Program Medical Director, Bureau of Communicable Diseases",AGENCY MEDICAL DIRECTOR,Non-Competitive,Health,Manager,42-09 28th Street,Communicable Diseases,1,5304A,M3,"$ 72,038.00 - $189,000.00 (Annual)",2020-12-18,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=452714&PostingSeq=1,452714,452714,Navigation Coordinator,CITY RESEARCH SCIENTIST,Non-Competitive,Health,Experienced (non-manager),42-09 28th Street,Not Listed,1,21744,02,"$ 75,504.00 - $ 93,776.40 (Annual)",2020-12-15,2021-03-06
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455345&PostingSeq=1,455345,455345,Borough Nursing Director,Not Listed,Not Listed,Health,Experienced (non-manager),"1601 Ave. S, Brooklyn",SH Nursing Services & Prof Dev,1,1003C,00,"$ 58,700.00 - $ 68,365.00 (Annual)",2020-12-14,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455337&PostingSeq=1,455337,455337,"Communicable Disease Liaison, Bureau of School Health",PUBLIC HEALTH NURSE,Competitive,Health,Experienced (non-manager),"1 Court Square, Queens",SH Nursing Services & Prof Dev,1,51011,03,"$ 84,252.00 - $ 84,252.00 (Annual)",2020-12-14,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455401&PostingSeq=1,455401,455401,Environmental Health Analyst,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),"125 Worth Street, Nyc",Environ Surveillance & Policy,1,21744,01,"$ 64,140.00 - $ 70,554.00 (Annual)",2020-12-14,2021-04-13
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455402&PostingSeq=1,455402,455402,Food Safety Analyst,CITY RESEARCH SCIENTIST,Non-Competitive,Health,Experienced (non-manager),"125 Worth Street, Nyc",Environ Surveillance & Policy,1,21744,01,"$ 64,140.00 - $ 70,554.00 (Annual)",2020-12-14,2021-04-13
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455258&PostingSeq=1,455258,455258,HCV Senior Data and Research Analyst,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Communicable Diseases,1,21744,03,"$ 84,468.00 - $104,909.00 (Annual)",2020-12-14,2021-04-10
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455403&PostingSeq=1,455403,455403,IT security specialist,IT INFRASTRUCTURE ENGINEER,Non-Competitive,"Health, Technology, Data & Innovation",Experienced (non-manager),22 Cortlandt Street,DIIT Administration,1,95714,00,"$ 75,000.00 - $ 92,700.00 (Annual)",2020-12-14,2021-04-13
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455393&PostingSeq=1,455393,455393,Senior Community Planner,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),42-09 28th Street,Not Listed,1,21744,03,"$ 84,468.00 - $ 97,138.00 (Annual)",2020-12-14,2021-04-13
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455344&PostingSeq=1,455344,455344,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,Competitive,Health,Experienced (non-manager),"259 Bristol St., Brooklyn",SH Nursing Services & Prof Dev,1,51011,02,"$ 79,039.00 - $ 79,039.00 (Annual)",2020-12-14,3020-01-01
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=454789&PostingSeq=1,454789,454789,"Environmental Health Scientist, Bureau of Environmental Disease and Injury Prevention",CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis",Experienced (non-manager),253 Broadway New York Ny,Env Health Assess and Comm,1,21744,02,"$ 75,504.00 - $ 91,692.00 (Annual)",2020-12-11,2021-04-02
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455252&PostingSeq=1,455252,455252,"Health Economic Analyst/Supervisor of Patient Billing, Bureau of Budget and Revenue",ECONOMIST,Competitive,"Finance, Accounting, & Procurement, Health",Experienced (non-manager),42-09 28th Street,Fed-St-Other Cat Claims & Revs,1,40910,03,"$ 59,422.00 - $ 81,000.00 (Annual)",2020-12-11,2021-04-09
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=454808&PostingSeq=1,454808,454808,"Public Health Inspector, Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement",Experienced (non-manager),NYC - All Boroughs,Food Safety & Community Sanit,2,31215,01,"$ 45,722.00 - $ 52,580.00 (Annual)",2020-12-11,2021-04-02
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=447762&PostingSeq=1,447762,447762,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,7,21514,02,"$ 71,686.00 - $ 89,640.00 (Annual)",2020-12-10,2021-02-08
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=447547&PostingSeq=1,447547,447547,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,Experienced (non-manager),"455 First Ave., N.Y.",Virology/Immunology,10,21514,01,"$ 59,394.00 - $ 75,600.00 (Annual)",2020-12-10,2021-04-09
