HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440779&PostingSeq=1&,440779,440779,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",21513,02,LABORATORY MICROBIOLOGIST,Competitive,Health,"$ 52,902.00 - $ 63,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology,06/09/2020,10/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440790&PostingSeq=1&,440790,440790,1,"Program Coordinator, HIV Prevention",21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 64,140.00 - $ 70,554.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV Prevention,06/09/2020,10/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440809&PostingSeq=1&,440809,440809,1,"Program Management Coordinator, Bureau of Early Intervention",1002A,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,Health,"$ 62,862.00 - $ 95,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,Early Intervention,06/09/2020,10/06/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440775&PostingSeq=1&,440775,440775,1,"Sexual Health Express Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",21514,02,ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,"$ 71,686.00 - $ 83,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology/Immunology,06/09/2020,10/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440670&PostingSeq=1&,440670,440670,1,"Public Health Advisor, Eyeglass Unit",51191,01,PUBLIC HEALTH ADVISER,Competitive,Health,"$ 39,096.00 - $ 44,960.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",SH Vision,06/02/2020,09/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440647&PostingSeq=1&,440647,440647,1,"Public Health Nurse, Bureau of Immunization",51014,00,CONSULTANT PUBLIC HEALTH NURSE,Competitive,Health,"$ 84,252.00 - $ 84,252.00 (Annual)",Experienced (non-manager),42-09 28th Street,Immunization Registry,06/02/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440641&PostingSeq=1&,440641,440641,1,Children’s Medicaid Policy Analyst,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 75,504.00 - $ 86,830.00 (Annual)",Experienced (non-manager),42-09 28th Street,"Children, Youth, & Families",05/29/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440587&PostingSeq=1&,440587,440587,1,"Construction Project Manager, Bureau of Facilities Planning and Management",34202,01,CONSTRUCTION PROJECT MANAGER,Competitive,Health,"$ 57,078.00 - $ 85,646.00 (Annual)",Manager,42-09 28th Street,Architecture Eng-Phw,05/29/2020,09/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440616&PostingSeq=1&,440616,440616,1,Executive Director of Healthcare Systems Readiness,95645,M1,EXECUTIVE DIRECTOR OF HEALTHCA,Non-Competitive,Health,"$ 58,700.00 - $124,803.24 (Annual)",Experienced (non-manager),42-09 28th Street,Healthcare & Comm Readiness,05/29/2020,09/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440575&PostingSeq=1&,440575,440575,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",21513,02,LABORATORY MICROBIOLOGIST,Competitive,Health,"$ 52,902.00 - $ 63,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,05/29/2020,09/24/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440421&PostingSeq=1&,440421,440421,1,"Office Assistant, Clinical Affairs/ Office of Program Review and Evaluation",10251,04,CLERICAL ASSOCIATE,Competitive,Health,"$ 40,017.00 - $ 60,575.00 (Annual)",Experienced (non-manager),42-09 28th Street,Clinical Affairs - OPRE,05/29/2020,09/16/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440628&PostingSeq=1&,440628,440628,1,Project Coordinator,21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 64,140.00 - $ 70,554.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV Care & Treatment,05/29/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440605&PostingSeq=1&,440605,440605,1,"Public Health Advisor, Bureau of HIV",51191,02,PUBLIC HEALTH ADVISER,Competitive,Health,"$ 47,155.00 - $ 54,228.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV EPI & Field Svces,05/29/2020,09/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440636&PostingSeq=1&,440636,440636,1,Public Health Inspector,31215,01,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 45,722.00 - $ 52,580.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Food Safety & Community Sanit,05/29/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440625&PostingSeq=1&,440625,440625,1,"Public Health Inspector, Food Safety and Community Sanitation",31215,01,PUBLIC HEALTH SANITARIAN,Competitive,"Health, Public Safety, Inspections, & Enforcement","$ 45,722.00 - $ 52,580.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Food Safety & Community Sanit,05/29/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440612&PostingSeq=1&,440612,440612,1,Radiation Emergency Response Specialist,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 75,504.00 - $ 93,776.40 (Annual)",Experienced (non-manager),"1 Court Square, Queens",Radiation Equipment,05/29/2020,09/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440623&PostingSeq=1&,440623,440623,1,Social Worker,52613,00,SOCIAL WORKER,Competitive,Health,"$ 51,079.00 - $ 64,800.00 (Annual)",Experienced (non-manager),"303 9Th Ave., N.Y.",STI Clinic Ops & Patient Srvs,05/29/2020,09/26/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440596&PostingSeq=1&,440596,440596,1,"T-TAP Trainer, HIV Care & Treatment",21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 75,504.00 - $ 86,830.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV Care & Treatment,05/29/2020,09/25/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439346&PostingSeq=1&,439346,439346,8,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",21514,02,ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,"$ 71,686.00 - $ 83,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Microbiology,05/23/2020,09/20/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440485&PostingSeq=1&,440485,440485,1,Electrician,91717,00,ELECTRICIAN,Competitive,Health,$    417.97 - $    417.97 (Daily),Experienced (non-manager),"455 First Ave., N.Y.",Operations/Labs,05/23/2020,09/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440520&PostingSeq=1&,440520,440520,1,Evaluation Specialist,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 75,504.00 - $ 86,830.00 (Annual)",Experienced (non-manager),42-09 28th Street,HIV Care & Treatment,05/23/2020,09/19/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440409&PostingSeq=1&,440409,440409,1,"Action Center Navigator, Brooklyn Neighborhood Health",56057,00,COMMUNITY ASSOCIATE,Non-Competitive,Health,"$ 38,333.00 - $ 44,083.00 (Annual)",Experienced (non-manager),"259 Bristol St., Brooklyn",CHECW - BKLYN.NEGHBHD HLTH.,05/22/2020,09/16/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439281&PostingSeq=1&,439281,439281,10,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory",21514,01,ASSOCIATE LABORATORY MICROBIOL,Competitive,Health,"$ 59,394.00 - $ 70,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology/Immunology,05/22/2020,09/19/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440504&PostingSeq=1&,440504,440504,1,Clinic Administrative Manager,1006C,00,HEALTH SERVICES MANAGER NON MA,Competitive,Health,"$ 56,990.00 - $ 61,457.00 (Annual)",Experienced (non-manager),34-33 Junction Blvd Queens,TB Clinic Operations,05/22/2020,09/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440423&PostingSeq=1&,440423,440423,1,"Laborer, Bureau of Facilities Planning and Administrative Services/Health Support Services",90702,00,CITY LABORER,Labor,Health,$    290.00 - $    290.00 (Daily),Experienced (non-manager),"52-35 58Th St., Woodside, Ny",Health Support Services,05/22/2020,09/16/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440441&PostingSeq=1&,440441,440441,1,Maintenance Worker,90698,00,MAINTENANCE WORKER,Competitive,Health,$     29.98 - $     31.16 (Hourly),Experienced (non-manager),"125 Worth Street, Nyc",Food Safety & Community Sanit,05/22/2020,09/16/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440475&PostingSeq=1&,440475,440475,1,"Manager of Mental Health and Strategic Partnerships, MIRH",52633,00,SUPERVISOR III SOCIAL WORK,Competitive,"Health, Social Services","$ 73,027.00 - $ 88,651.00 (Annual)",Experienced (non-manager),"1 Court Square, Queens",MIRH Nurse Family Partnership,05/22/2020,09/17/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440467&PostingSeq=1&,440467,440467,1,"Quality Assurance Analyst, Bureau of Technology Strategy & Project Management",95712,00,IT AUTOMATION AND MONITORING E,Non-Competitive,"Health, Technology, Data & Innovation",$     41.05 - $     59.42 (Hourly),Experienced (non-manager),42-09 28th Street,IT Strategy Project Management,05/22/2020,09/17/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440418&PostingSeq=1&,440418,440418,1,Payment Analyst,40502,01,MANAGEMENT AUDITOR,Competitive,"Finance, Accounting, & Procurement","$ 56,013.00 - $ 64,415.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Admin,05/19/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440249&PostingSeq=1&,440249,440249,1,"City Custodial Assistant, Bureau of Operations",90644,00,CITY CUSTODIAL ASSISTANT,Labor,"Health, Building Operations & Maintenance","$ 32,260.00 - $ 36,915.00 (Annual)",Entry-Level,90-27 Parsons Boulevard,Operations,05/15/2020,09/11/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440331&PostingSeq=1&,440331,440331,1,"City Custodial Assistant, Bureau of Operations",90644,00,CITY CUSTODIAL ASSISTANT,Labor,"Health, Building Operations & Maintenance","$ 32,260.00 - $ 36,915.00 (Annual)",Entry-Level,"455 First Ave., N.Y.",Operations/Labs,05/15/2020,09/12/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440079&PostingSeq=1&,440079,440079,1,"Deputy Director, Mental Health/Office of Housing Services",1006C,00,HEALTH SERVICES MANAGER NON MA,Competitive,"Health, Social Services","$ 56,990.00 - $109,551.00 (Annual)",Manager,42-09 28th Street,Mental Health,05/15/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440081&PostingSeq=1&,440081,440081,1,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",21513,02,LABORATORY MICROBIOLOGIST,Competitive,Health,"$ 52,902.00 - $ 63,000.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology,05/15/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440240&PostingSeq=1&,440240,440240,1,"Laborer, Bureau of Facilities Planning and Administrative Services/Health Support Services",90702,00,CITY LABORER,Labor,"Health, Building Operations & Maintenance",$     36.25 - $     36.25 (Hourly),Experienced (non-manager),"52-35 58Th St., Woodside, Ny",Health Support Services,05/15/2020,09/10/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440264&PostingSeq=1&,440264,440264,1,Public Health Adviser,51191,02,PUBLIC HEALTH ADVISER,Competitive,Health,"$ 47,155.00 - $ 58,566.24 (Annual)",Experienced (non-manager),1309 Fulton Ave Bronx,TB Clinic Operations,05/15/2020,09/11/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440158&PostingSeq=1&,440158,440158,20,City Mortuary Technician (Per Diem),52020,00,City Mortuary Technician,Labor,Health,$     21.24 - $     24.43 (Hourly),Entry-Level,"520 1St Ave., N.Y.",OCME-Operations,05/14/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440225&PostingSeq=1&,440225,440225,20,Decedent Management Specialist,21849,01,CRIMINALIST,Non-Competitive,Health,$     35.77 - $     35.77 (Hourly),Experienced (non-manager),"520 1St Ave., N.Y.",OCME-Pathology,05/14/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440165&PostingSeq=1&,440165,440165,1,"Analyst, Sexually Transmitted Infections",21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,"Health, Policy, Research & Analysis","$ 64,140.00 - $ 70,554.00 (Annual)",Experienced (non-manager),42-09 28th Street,STI Surveillance/Epidemiology,05/11/2020,09/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440168&PostingSeq=1&,440168,440168,1,Application Examiner,10251,03,CLERICAL ASSOCIATE,Competitive,Health,"$ 36,390.00 - $ 45,195.84 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Vital Statistics/Vital Recor,05/11/2020,09/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440167&PostingSeq=1&,440167,440167,1,"Assistant Director, Assisted Outpatient Treatment",1002A,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,Health,"$ 62,862.00 - $ 91,698.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/11/2020,09/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440187&PostingSeq=1&,440187,440187,1,Policies and Procedures Specialist,56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Policy, Research & Analysis","$ 54,100.00 - $ 83,981.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Admin,05/11/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440108&PostingSeq=1&,440108,440108,1,"Administrative Assistant, Bureau of Mental Health/AOT",10251,03,CLERICAL ASSOCIATE,Competitive,Health,"$ 36,390.00 - $ 44,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/07/2020,09/04/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440078&PostingSeq=1&,440078,440078,1,"Administrative Assistant, Mental Health/AOT",10251,03,CLERICAL ASSOCIATE,Competitive,Health,"$ 36,390.00 - $ 44,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/07/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440089&PostingSeq=1&,440089,440089,1,"Case Monitor, Bureau of Mental Health/Assisted Outpatient Treatment",52613,00,SOCIAL WORKER,Competitive,"Health, Social Services","$ 51,079.00 - $ 64,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/07/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440092&PostingSeq=1&,440092,440092,1,"Case Monitor, Bureau of Mental Health/Assisted Outpatient Treatment",52613,00,SOCIAL WORKER,Competitive,Health,"$ 51,079.00 - $ 64,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,05/07/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440112&PostingSeq=1&,440112,440112,1,"Community Capacity Building Specialist, Center for Health Equity and Community Wellness",56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Health, Social Services","$ 54,100.00 - $ 62,215.00 (Annual)",Experienced (non-manager),42-09 28th Street,CHECW - EQTBLE. HLTH. SYS.,05/07/2020,09/04/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440076&PostingSeq=1&,440076,440076,1,Community Engagement & Public Data Specialist,21744,02,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 75,504.00 - $ 86,830.00 (Annual)",Experienced (non-manager),42-09 28th Street,MHY Comm Eng Pol & Prac,05/07/2020,09/03/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440099&PostingSeq=1&,440099,440099,7,"Laboratory Associate, Bureau of Public Health Laboratory",21512,02,LABORATORY ASSOCIATE,Competitive,Health,"$ 45,530.00 - $ 48,792.00 (Annual)",Experienced (non-manager),"455 First Ave., N.Y.",Virology,05/07/2020,09/03/2020
